Data,Valor_RS,Var_Dia,Var_M̻s,Valor_US,Data_new
29/04/2021,"313,70","0,51%","-0,66%","58,59",2021-04-30
28/04/2021,"312,10","-0,41%","-1,17%","58,18",2021-04-30
27/04/2021,"313,40","-0,70%","-0,76%","57,35",2021-04-30
26/04/2021,"315,60","0,06%","-0,06%","57,82",2021-04-30
23/04/2021,"315,40","-0,39%","-0,13%","57,40",2021-04-30
22/04/2021,"316,65","0,25%","0,27%","57,97",2021-04-30
20/04/2021,"315,85","0,14%","0,02%","56,84",2021-04-30
19/04/2021,"315,40","0,90%","-0,13%","56,71",2021-04-30
16/04/2021,"312,60","-2,13%","-1,01%","55,96",2021-04-30
15/04/2021,"319,40","-0,19%","1,14%","56,79",2021-04-30
14/04/2021,"320,00","1,04%","1,33%","56,40",2021-04-30
13/04/2021,"316,70","0,08%","0,28%","55,55",2021-04-30
12/04/2021,"316,45","-0,92%","0,21%","55,28",2021-04-30
09/04/2021,"319,40","0,82%","1,14%","56,25",2021-04-30
08/04/2021,"316,80","0,16%","0,32%","56,85",2021-04-30
29/04/2021,"314,04","-0,19%","-0,56%","57,87",2021-04-30
28/04/2021,"314,63","-0,24%","-0,37%","57,74",2021-04-30
27/04/2021,"315,38","-0,13%","-0,13%","57,48",2021-04-30
26/04/2021,"315,78","0,19%","-0,01%","57,35",2021-04-30
23/04/2021,"315,18","-0,25%","-0,20%","56,98",2021-04-30
22/04/2021,"315,98","-0,20%","0,06%","56,85",2021-04-30
29/04/2021,"314,44","0,51%","-0,68%","7,76",2021-04-30
28/04/2021,"312,83","-0,41%","-1,18%","11,38",2021-04-30
27/04/2021,"314,12","-0,70%","-0,78%","6,00",2021-04-30
26/04/2021,"316,33","0,08%","-0,08%","9,57",2021-04-30
23/04/2021,"316,09","-0,40%","-0,15%","8,50",2021-04-30
22/04/2021,"317,37","0,26%","0,25%","11,57",2021-04-30
20/04/2021,"316,55","0,14%","-0,01%","7,80",2021-04-30
19/04/2021,"316,10","0,88%","-0,15%","9,24",2021-04-30
16/04/2021,"313,34","-2,11%","-1,02%","9,79",2021-04-30
15/04/2021,"320,11","-0,20%","1,12%","6,76",2021-04-30
14/04/2021,"320,75","1,06%","1,32%","9,87",2021-04-30
13/04/2021,"317,39","0,08%","0,26%","8,23",2021-04-30
12/04/2021,"317,15","-0,93%","0,18%","8,21",2021-04-30
09/04/2021,"320,12","0,81%","1,12%","3,57",2021-04-30
08/04/2021,"317,55","0,17%","0,31%","8,10",2021-04-30
